,activity_id,serious_marine_incident,marine_board_convened,invest_level,casualty_classification,incident_involvement,invest_type
0,2189346,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2196814,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2199318,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2213752,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2215896,false,false,,Routine,Bridge Regulatory Violations,Incident Investigation
0,2224884,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2225400,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2225557,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2226216,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2227602,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2227749,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2228023,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2229596,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2232295,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2232472,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2234148,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2236286,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2236887,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2237702,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2239689,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2241315,true,false,,Routine,Alleged Civil Offense(s),Incident Investigation
0,2241320,true,false,,Routine,Alleged Civil Offense(s),Incident Investigation
0,2241341,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2241433,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2241781,true,false,,Routine,Discharge of Oil,Incident Investigation
0,2241804,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2250382,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2251780,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2254042,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2254224,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2256251,false,false,,Routine,Bridge Regulatory Violations,Incident Investigation
0,2256885,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2256972,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2258553,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2259990,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2263674,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2268186,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2268204,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2272885,false,false,,Routine,Alleged Civil Offense(s),Incident Investigation
0,2274146,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2276501,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2277792,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2279659,true,false,,Significant Marine Casualty,Alleged Civil Offense(s),Incident Investigation
0,2279927,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2282026,false,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2283625,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2283649,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2284602,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2285890,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2286554,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2286568,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2286587,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2287878,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2289827,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2290720,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2293219,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2294530,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2294661,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2294847,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
